model_name,epoch,run_id,train_loss,dev_macro_f1
bert_linear,1,20260526_142103,1.8767,0.3353
bert_linear,2,20260526_142103,0.8288,0.513
bert_linear,3,20260526_142103,0.5366,0.5579
bert_linear,4,20260526_142103,0.3753,0.5719
bert_linear,5,20260526_142103,0.2687,0.587
bert_linear,6,20260526_142103,0.1995,0.5969
bert_linear,7,20260526_142103,0.1538,0.5912
bert_linear,8,20260526_142103,0.1252,0.623
bert_linear,9,20260526_142103,0.104,0.6151
bert_linear,10,20260526_142103,0.0934,0.615
bert_linear_noweight,1,20260526_164201,1.2841,0.2397
bert_linear_noweight,2,20260526_164201,0.4677,0.4641
bert_linear_noweight,3,20260526_164201,0.3081,0.558
bert_linear_noweight,4,20260526_164201,0.2194,0.5783
bert_linear_noweight,5,20260526_164201,0.1615,0.5804
bert_linear_noweight,6,20260526_164201,0.1185,0.5942
bert_linear_noweight,7,20260526_164201,0.0912,0.5962
bert_linear_noweight,8,20260526_164201,0.0741,0.6036
bert_linear_noweight,9,20260526_164201,0.0611,0.6167
bert_linear_noweight,10,20260526_164201,0.0549,0.6111
roberta_linear,1,20260526_164201,1.952,0.2217
roberta_linear,2,20260526_164201,0.9795,0.4865
roberta_linear,3,20260526_164201,0.6636,0.5072
roberta_linear,4,20260526_164201,0.5083,0.5401
roberta_linear,5,20260526_164201,0.4039,0.5595
roberta_linear,6,20260526_164201,0.333,0.5403
roberta_linear,7,20260526_164201,0.2779,0.5688
roberta_linear,8,20260526_164201,0.2439,0.5861
roberta_linear,9,20260526_164201,0.214,0.5849
roberta_linear,10,20260526_164201,0.1921,0.5707
roberta_linear_noweight,1,20260526_164201,1.2934,0.1218
roberta_linear_noweight,2,20260526_164201,0.5738,0.4194
roberta_linear_noweight,3,20260526_164201,0.396,0.5295
roberta_linear_noweight,4,20260526_164201,0.3119,0.5951
roberta_linear_noweight,5,20260526_164201,0.2473,0.5869
roberta_linear_noweight,6,20260526_164201,0.2058,0.6139
roberta_linear_noweight,7,20260526_164201,0.1696,0.6025
roberta_linear_noweight,8,20260526_164201,0.1502,0.6216
roberta_linear_noweight,9,20260526_164201,0.1349,0.6244
roberta_linear_noweight,10,20260526_164201,0.1238,0.6317
scibert_concat4,1,20260526_160704,1.612,0.4664
scibert_concat4,2,20260526_160704,0.6039,0.5773
scibert_concat4,3,20260526_160704,0.3717,0.6127
scibert_concat4,4,20260526_160704,0.2318,0.6093
scibert_concat4,5,20260526_160704,0.1485,0.6232
scibert_concat4,6,20260526_160704,0.0991,0.6323
scibert_concat4,7,20260526_160704,0.0673,0.6242
scibert_concat4,8,20260526_160704,0.0466,0.6414
scibert_concat4,9,20260526_160704,0.034,0.641
scibert_concat4,10,20260526_160704,0.0299,0.6472
scibert_linear,1,20260526_142103,1.8146,0.4405
scibert_linear,2,20260526_142103,0.7103,0.5385
scibert_linear,3,20260526_142103,0.4627,0.5995
scibert_linear,4,20260526_142103,0.3277,0.5968
scibert_linear,5,20260526_142103,0.2343,0.6078
scibert_linear,6,20260526_142103,0.1759,0.6152
scibert_linear,7,20260526_142103,0.1335,0.6249
scibert_linear,8,20260526_142103,0.1089,0.6159
scibert_linear,9,20260526_142103,0.0882,0.6211
scibert_linear,10,20260526_142103,0.0814,0.6244
scibert_linear_crf,1,20260526_152138,1.1378,0.3862
scibert_linear_crf,2,20260526_152138,0.3232,0.5714
scibert_linear_crf,3,20260526_152138,0.2107,0.5836
scibert_linear_crf,4,20260526_152138,0.1461,0.6312
scibert_linear_crf,5,20260526_152138,0.1038,0.6387
scibert_linear_crf,6,20260526_152138,0.0779,0.6292
scibert_linear_crf,7,20260526_152138,0.0582,0.6463
scibert_linear_crf,8,20260526_152138,0.0462,0.6393
scibert_linear_crf,9,20260526_152138,0.0369,0.6284
scibert_linear_crf,10,20260526_152138,0.0325,0.6418
scibert_linear_crf_noweight,1,20260526_164201,1.1378,0.3862
scibert_linear_crf_noweight,2,20260526_164201,0.3232,0.5714
scibert_linear_crf_noweight,3,20260526_164201,0.2107,0.5836
scibert_linear_crf_noweight,4,20260526_164201,0.1461,0.6312
scibert_linear_crf_noweight,5,20260526_164201,0.1038,0.6387
scibert_linear_crf_noweight,6,20260526_164201,0.0779,0.6292
scibert_linear_crf_noweight,7,20260526_164201,0.0582,0.6463
scibert_linear_crf_noweight,8,20260526_164201,0.0462,0.6393
scibert_linear_crf_noweight,9,20260526_164201,0.0369,0.6284
scibert_linear_crf_noweight,10,20260526_164201,0.0325,0.6418
scibert_linear_noweight,1,20260526_142103,1.2337,0.3456
scibert_linear_noweight,2,20260526_142103,0.3981,0.5313
scibert_linear_noweight,3,20260526_142103,0.2653,0.5832
scibert_linear_noweight,4,20260526_142103,0.1891,0.6182
