model_name,run_id,base_model,num_epochs,batch_size,lr,seed,macro_f1,Generic_f1,Material_f1,Method_f1,Metric_f1,OtherScientificTerm_f1,Task_f1,results_file
bert_linear_noweight,20260526_164201,bert-base-cased,10,16,2e-05,42,0.6035,0.7135,0.5565,0.6814,0.5732,0.5313,0.5649,bert_linear_noweight_20260526_164201.json
bert_linear,20260526_142103,bert-base-cased,10,16,2e-05,42,0.5937,0.6555,0.5683,0.676,0.593,0.5228,0.5464,bert_linear_20260526_142103.json
roberta_linear_noweight,20260526_164201,roberta-base,10,16,2e-05,42,0.5912,0.6923,0.5605,0.6712,0.5478,0.5193,0.5561,roberta_linear_noweight_20260526_164201.json
roberta_linear,20260526_164201,roberta-base,10,16,2e-05,42,0.5851,0.6734,0.557,0.6513,0.5926,0.5313,0.5049,roberta_linear_20260526_164201.json
scibert_linear_noweight,20260526_142103,allenai/scibert_scivocab_cased,10,16,2e-05,42,0.6458,0.7116,0.6586,0.7488,0.6182,0.5662,0.5714,scibert_linear_noweight_20260526_142103.json
scibert_linear,20260526_142103,allenai/scibert_scivocab_cased,10,16,2e-05,42,0.6033,0.6878,0.615,0.7245,0.5325,0.5453,0.5148,scibert_linear_20260526_142103.json
scibert_mlp,20260526_164201,allenai/scibert_scivocab_cased,10,16,2e-05,42,0.644,0.7079,0.6647,0.7462,0.6154,0.5772,0.5527,scibert_mlp_20260526_164201.json
scibert_linear_crf_noweight,20260526_164201,allenai/scibert_scivocab_cased,10,16,2e-05,42,0.6277,0.7211,0.6279,0.7232,0.5434,0.5695,0.5813,scibert_linear_crf_noweight_20260526_164201.json
scibert_linear_crf,20260526_152138,allenai/scibert_scivocab_cased,10,16,2e-05,42,0.6277,0.7211,0.6279,0.7232,0.5434,0.5695,0.5813,scibert_linear_crf_20260526_152138.json
scibert_concat4,20260526_160704,allenai/scibert_scivocab_cased,10,8,2e-05,42,0.6435,0.737,0.6609,0.7506,0.5732,0.5788,0.5606,scibert_concat4_20260526_160704.json
