run_id,model_name,epoch,train_loss,dev_macro_f1
20260526_175419,bert_linear,1,1.6855,0.4017
20260526_175419,bert_linear,2,0.6192,0.4835
20260526_175419,bert_linear,3,0.3526,0.5438
20260526_175419,bert_linear,4,0.2183,0.5874
20260526_175419,bert_linear,5,0.1439,0.5962
20260526_175419,bert_linear,6,0.1023,0.5932
20260526_175419,bert_linear,7,0.0745,0.5913
20260526_175419,bert_linear,8,0.0564,0.6035
20260526_175419,bert_linear,9,0.0447,0.6103
20260526_175419,bert_linear,10,0.0402,0.6119
20260526_175419,bert_linear_noweight,1,1.2189,0.3259
20260526_175419,bert_linear_noweight,2,0.4117,0.5479
20260526_175419,bert_linear_noweight,3,0.2383,0.5734
20260526_175419,bert_linear_noweight,4,0.1465,0.6018
20260526_175419,bert_linear_noweight,5,0.0929,0.591
20260526_175419,bert_linear_noweight,6,0.0641,0.5984
20260526_175419,bert_linear_noweight,7,0.0458,0.5913
20260526_175419,roberta_linear,1,1.7441,0.3631
20260526_175419,roberta_linear,2,0.7139,0.4934
20260526_175419,roberta_linear,3,0.4686,0.5538
20260526_175419,roberta_linear,4,0.3341,0.5403
20260526_175419,roberta_linear,5,0.2469,0.5551
20260526_175419,roberta_linear,6,0.1858,0.5596
20260526_175419,roberta_linear,7,0.1434,0.5748
20260526_175419,roberta_linear,8,0.1172,0.5878
20260526_175419,roberta_linear,9,0.1027,0.5897
20260526_175419,roberta_linear,10,0.0873,0.5892
20260526_175419,roberta_linear_noweight,1,1.2637,0.1893
20260526_175419,roberta_linear_noweight,2,0.513,0.5164
20260526_175419,roberta_linear_noweight,3,0.3287,0.545
20260526_175419,roberta_linear_noweight,4,0.2336,0.5844
20260526_175419,roberta_linear_noweight,5,0.1712,0.5858
20260526_175419,roberta_linear_noweight,6,0.1288,0.5959
20260526_175419,roberta_linear_noweight,7,0.0987,0.6028
20260526_175419,roberta_linear_noweight,8,0.0794,0.5933
20260526_175419,roberta_linear_noweight,9,0.0696,0.5862
20260526_175419,roberta_linear_noweight,10,0.0589,0.594
20260526_175419,scibert_concat4,1,1.3954,0.4668
20260526_175419,scibert_concat4,2,0.4466,0.6023
20260526_175419,scibert_concat4,3,0.2205,0.6201
20260526_175419,scibert_concat4,4,0.1213,0.6348
20260526_175419,scibert_concat4,5,0.0695,0.6336
20260526_175419,scibert_concat4,6,0.0423,0.6346
20260526_175419,scibert_concat4,7,0.0268,0.6306
20260526_175419,scibert_linear,1,1.557,0.4529
20260526_175419,scibert_linear,2,0.5329,0.5462
20260526_175419,scibert_linear,3,0.3061,0.5983
20260526_175419,scibert_linear,4,0.1868,0.6141
20260526_175419,scibert_linear,5,0.1201,0.6164
20260526_175419,scibert_linear,6,0.0832,0.6239
20260526_175419,scibert_linear,7,0.0601,0.6388
20260526_175419,scibert_linear,8,0.044,0.6397
20260526_175419,scibert_linear,9,0.0347,0.6411
20260526_175419,scibert_linear,10,0.0286,0.6446
20260526_195230,scibert_linear_crf,1,1.3313,0.4996
20260526_195230,scibert_linear_crf,2,0.3067,0.5921
20260526_195230,scibert_linear_crf,3,0.1683,0.6527
20260526_195230,scibert_linear_crf,4,0.0975,0.6581
20260526_195230,scibert_linear_crf,5,0.0591,0.6568
20260526_195230,scibert_linear_crf,6,0.0389,0.644
20260526_195230,scibert_linear_crf,7,0.0253,0.6546
20260526_175419,scibert_linear_crf_noweight,1,0.8851,0.3304
20260526_175419,scibert_linear_crf_noweight,2,0.2563,0.5466
20260526_175419,scibert_linear_crf_noweight,3,0.1495,0.6038
20260526_175419,scibert_linear_crf_noweight,4,0.0992,0.6094
20260526_175419,scibert_linear_crf_noweight,5,0.065,0.6376
20260526_175419,scibert_linear_crf_noweight,6,0.0466,0.6455
20260526_175419,scibert_linear_crf_noweight,7,0.0345,0.6302
20260526_175419,scibert_linear_crf_noweight,8,0.0284,0.637
20260526_175419,scibert_linear_crf_noweight,9,0.024,0.6337
20260526_175419,scibert_linear_noweight,1,1.0994,0.4845
20260526_175419,scibert_linear_noweight,2,0.3365,0.594
20260526_175419,scibert_linear_noweight,3,0.1955,0.6159
20260526_175419,scibert_linear_noweight,4,0.1196,0.6333
20260526_175419,scibert_linear_noweight,5,0.0739,0.6434
20260526_175419,scibert_linear_noweight,6,0.0515,0.6424
20260526_175419,scibert_linear_noweight,7,0.0348,0.6453
20260526_175419,scibert_linear_noweight,8,0.0261,0.6563
20260526_175419,scibert_linear_noweight,9,0.0202,0.6464
20260526_175419,scibert_linear_noweight,10,0.0159,0.6514
20260526_175419,scibert_mlp,1,1.32,0.3715
20260526_175419,scibert_mlp,2,0.4058,0.5761
20260526_175419,scibert_mlp,3,0.2396,0.6107
20260526_175419,scibert_mlp,4,0.1557,0.6251
20260526_175419,scibert_mlp,5,0.1045,0.6152
20260526_175419,scibert_mlp,6,0.0743,0.6304
20260526_175419,scibert_mlp,7,0.0558,0.6229
20260526_175419,scibert_mlp,8,0.0419,0.6298
20260526_175419,scibert_mlp,9,0.0349,0.633
20260526_175419,scibert_mlp,10,0.0287,0.6243
